"Name", "Stmts", "Miss", "Cover"
"idecobot/__init__.py", "9", "0", "100%"
"idecobot/core/__init__.py", "9", "0", "100%"
"idecobot/core/model/__init__.py", "9", "0", "100%"
"idecobot/core/model/communication/__init__.py", "9", "0", "100%"
"idecobot/core/model/communication/mycobot_frame.py", "22", "1", "95%"
"idecobot/core/model/communication/protocol_constants.py", "39", "0", "100%"
"idecobot/core/model/communication/serial_defaults.py", "19", "0", "100%"
"idecobot/core/model/communication/stream_config.py", "17", "0", "100%"
"idecobot/core/model/communication/stream_progress.py", "18", "0", "100%"
"idecobot/core/model/communication/stream_state.py", "17", "0", "100%"
"idecobot/core/model/dsl/__init__.py", "9", "0", "100%"
"idecobot/core/model/dsl/ast/__init__.py", "9", "0", "100%"
"idecobot/core/model/dsl/ast/imycobot_instruction.py", "22", "22", "0%"
"idecobot/core/model/dsl/ast/imycobot_program.py", "20", "20", "0%"
"idecobot/core/model/dsl/ast/mycobot_command_type.py", "19", "0", "100%"
"idecobot/core/model/dsl/ast/mycobot_instruction.py", "18", "0", "100%"
"idecobot/core/model/dsl/ast/mycobot_program.py", "21", "2", "90%"
"idecobot/core/model/dsl/diagnostic/__init__.py", "9", "0", "100%"
"idecobot/core/model/dsl/diagnostic/mycobot_diagnostic.py", "23", "2", "91%"
"idecobot/core/model/dsl/diagnostic/mycobot_diagnostic_severity.py", "14", "0", "100%"
"idecobot/core/model/dsl/token/__init__.py", "9", "0", "100%"
"idecobot/core/model/dsl/token/dsl_grammar_constants.py", "32", "0", "100%"
"idecobot/core/model/dsl/token/mycobot_token.py", "17", "0", "100%"
"idecobot/core/model/dsl/token/mycobot_token_type.py", "18", "0", "100%"
"idecobot/core/model/kinematics/__init__.py", "9", "0", "100%"
"idecobot/core/model/kinematics/mycobot_bounds.py", "53", "0", "100%"
"idecobot/core/service/__init__.py", "9", "0", "100%"
"idecobot/core/service/communication/__init__.py", "9", "0", "100%"
"idecobot/core/service/communication/imycobot_controller.py", "22", "0", "100%"
"idecobot/core/service/communication/imycobot_streamer.py", "23", "0", "100%"
"idecobot/core/service/communication/itransport.py", "18", "0", "100%"
"idecobot/core/service/dsl/__init__.py", "9", "0", "100%"
"idecobot/core/service/dsl/compiler/__init__.py", "9", "0", "100%"
"idecobot/core/service/dsl/compiler/imycobot_compiler.py", "18", "0", "100%"
"idecobot/core/service/dsl/compiler/mycobot_compiler.py", "84", "14", "83%"
"idecobot/core/service/dsl/imycobot_dsl_service.py", "22", "0", "100%"
"idecobot/core/service/dsl/lexer/__init__.py", "9", "0", "100%"
"idecobot/core/service/dsl/lexer/imycobot_lexer.py", "16", "0", "100%"
"idecobot/core/service/dsl/lexer/mycobot_lexer.py", "78", "24", "69%"
"idecobot/core/service/dsl/linter/__init__.py", "9", "0", "100%"
